%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -3756.4565249033603, -1003.9062504656614, 9549.000507474007, -14135.17613830282, -187500.02235174447, -8098.08171964666, -2507.463396485257, -365.8980567333766, 0.506, -0.002, 0.10400000000000001, 192.0, 15.0, 208.0, 255.0, 240.0, 3.0, 64.0, 0.0, 0.0, 0.0, 1.679087130956451E9, 0.0, 2023-03-17 14:05:30.956
1.0, -3680.7735181776907, -911.0347522538606, 9627.321020045403, -14039.823596456481, -187500.02235174447, -8008.272410425236, -2447.0466312225617, -301.5920879354582, 0.506, -0.002, 0.10400000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087130963706E9, 0.0, 2023-03-17 14:05:30.963
2.0, -3726.1252076775086, -933.699421131542, 9622.850671154341, -14100.709748352738, -187500.02235174447, -8016.386093662512, -2480.462489183246, -319.3170212885167, 0.506, -0.002, 0.10400000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087130963719E9, 0.0, 2023-03-17 14:05:30.963
3.0, -3776.483687935315, -1017.0043727164714, 9542.138521926228, -14189.915560473868, -187500.02235174447, -8115.672542532986, -2537.302975333092, -384.27119067563905, 0.506, -0.002, 0.10400000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087130970046E9, 0.0, 2023-03-17 14:05:30.970
4.0, -3769.1523157539746, -1011.8858232362061, 9539.389257358225, -14154.331583301018, -187500.02235174447, -8115.65019078853, -2545.5507690371, -400.40915017237074, 0.506, -0.002, 0.10400000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087130970072E9, 0.0, 2023-03-17 14:05:30.970
5.0, -3710.3225243476063, -942.2601392579245, 9596.252095252526, -14081.554303354538, -187500.02235174447, -8050.07017255666, -2482.384739206402, -380.1137662069519, 0.506, -0.002, 0.10400000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087130978232E9, 0.0, 2023-03-17 14:05:30.978
6.0, -3738.396315383472, -948.4292207275893, 9609.149051803239, -14117.115928782932, -187500.02235174447, -8022.77869257673, -2456.0320324935956, -337.13136161939644, 0.506, -0.002, 0.10400000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087130978252E9, 0.0, 2023-03-17 14:05:30.978
7.0, -3784.7761851282344, -1027.889672266206, 9542.518501581968, -14205.42767112585, -187500.02235174447, -8087.107013119104, -2549.2164551277706, -406.80174908658853, 0.762, -0.004, 0.15, 192.0, 23.0, 208.0, 255.0, 224.0, 4.0, 176.0, 0.0, 0.0, 0.0, 1.67908713098623E9, 0.0, 2023-03-17 14:05:30.986
8.0, -3756.7470975812794, -1010.1870906576027, 9551.906234253196, -14163.316984572051, -187500.02235174447, -8077.451059514411, -2556.883103475941, -373.4752981037257, 0.762, -0.004, 0.15, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087130986246E9, 0.0, 2023-03-17 14:05:30.986
9.0, -3672.0339860956656, -914.2757551998801, 9626.561060733922, -14047.892576204846, -187500.02235174447, -8002.863288267052, -2448.231273678693, -278.8156603355003, 0.762, -0.004, 0.15, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087130993237E9, 0.0, 2023-03-17 14:05:30.993
10.0, -3689.9600851488217, -911.7053045875198, 9635.76997944951, -14065.550454324539, -187500.02235174447, -8002.952695244872, -2398.923325410286, -277.7651283461009, 0.762, -0.004, 0.15, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087130993249E9, 0.0, 2023-03-17 14:05:30.993
11.0, -3751.852065545567, -992.3503985822676, 9573.542722885933, -14166.557987518072, -187500.02235174447, -8091.979693410361, -2491.437195710802, -369.0496527015749, 0.762, -0.004, 0.15, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131001426E9, 0.0, 2023-03-17 14:05:31.001
12.0, -3770.0687372766424, -1026.593271087798, 9534.561280555878, -14188.842676740012, -187500.02235174447, -8122.1545484250255, -2557.330138365047, -422.62678416094593, 0.762, -0.004, 0.15, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67908713100144E9, 0.0, 2023-03-17 14:05:31.001
13.0, -3707.1932801238636, -948.6527381721423, 9593.502830684523, -14080.034384731578, -187500.02235174447, -8037.553195661688, -2484.619913651933, -330.7164109607233, 0.762, -0.004, 0.15, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131008816E9, 0.0, 2023-03-17 14:05:31.008
14.0, -3691.7035212163355, -907.1231969741818, 9639.368610306814, -14074.446448617751, -187500.02235174447, -7990.01103520525, -2447.828942278498, -297.6805326557795, 0.762, -0.004, 0.15, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67908713100883E9, 0.0, 2023-03-17 14:05:31.008
15.0, -3743.4031061414607, -966.243561058469, 9605.461013968112, -14165.842731695502, -187500.02235174447, -8050.807780123685, -2528.2505188286923, -353.8057629830555, 0.762, -0.004, 0.15, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67908713101591E9, 0.0, 2023-03-17 14:05:31.015
16.0, -3766.5818651416143, -1023.6875443086082, 9543.658440549189, -14207.886363015934, -187500.02235174447, -8136.951403254438, -2567.5448855811223, -397.68223734882326, 0.762, -0.004, 0.15, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131023673E9, 0.0, 2023-03-17 14:05:31.023
17.0, -3719.822015741112, -969.5739709823098, 9584.18215324666, -14099.234533218687, -187500.02235174447, -8075.148829835514, -2503.3506755054805, -348.53075129160305, 0.888, -0.004, 0.176, 192.0, 27.0, 192.0, 255.0, 224.0, 5.0, 128.0, 0.0, 0.0, 0.0, 1.679087131023685E9, 0.0, 2023-03-17 14:05:31.023
18.0, -3666.8483813820344, -895.9026212576177, 9656.691212259677, -14027.552488750516, -187500.02235174447, -7980.668006022931, -2421.856215221431, -268.3773956748719, 0.888, -0.004, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131030445E9, 0.0, 2023-03-17 14:05:31.030
19.0, -3735.2447194152737, -956.7217179205082, 9613.66410418321, -14145.74851343018, -187500.02235174447, -8031.719390358853, -2482.8094223510534, -340.6852889877903, 0.888, -0.004, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131030457E9, 0.0, 2023-03-17 14:05:31.030
20.0, -3782.1386792825083, -1039.601986360787, 9524.88297520673, -14229.72401734877, -187500.02235174447, -8125.730827537875, -2526.9317659058293, -419.7434091262113, 0.888, -0.004, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131038547E9, 0.0, 2023-03-17 14:05:31.038
21.0, -3744.6995073198686, -993.3562270827565, 9559.550530856912, -14147.737818686703, -187500.02235174447, -8074.165353079481, -2503.6412481833995, -355.97388219522026, 0.888, -0.004, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131038559E9, 0.0, 2023-03-17 14:05:31.038
22.0, -3676.6831489423694, -908.4643016415002, 9636.261717827525, -14057.392067598352, -187500.02235174447, -7988.714634026842, -2442.0621922090286, -277.5192591570925, 0.888, -0.004, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131045458E9, 0.0, 2023-03-17 14:05:31.045
23.0, -3732.0707717026203, -951.3125957623239, 9613.57469720539, -14132.493928968184, -187500.02235174447, -8026.265564711758, -2490.565477677045, -310.59984095094694, 0.888, -0.004, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67908713104547E9, 0.0, 2023-03-17 14:05:31.045
24.0, -3767.9676732978432, -1024.179282686625, 9541.467969592568, -14203.99715948071, -187500.02235174447, -8115.65019078853, -2560.4146790998793, -402.42080717334835, 0.888, -0.004, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131052966E9, 0.0, 2023-03-17 14:05:31.052
25.0, -3732.1601786804413, -982.9403141665833, 9569.407650161702, -14134.41617899134, -187500.02235174447, -8078.121611848071, -2516.0464663560947, -368.2002864122732, 0.888, -0.004, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131052981E9, 0.0, 2023-03-17 14:05:31.052
26.0, -3664.6355586809586, -902.98812424995, 9634.250060826547, -14040.53885227905, -187500.02235174447, -7991.955636972862, -2453.729802814699, -292.4949279421482, 0.888, -0.004, 0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131061137E9, 0.0, 2023-03-17 14:05:31.061
27.0, -3720.8948994749667, -937.856845600229, 9618.648543196743, -14107.236457733687, -187500.02235174447, -8012.027503493728, -2490.520774188134, -341.7805244661003, 0.9480000000000001, -0.006, 0.186, 192.0, 29.0, 160.0, 255.0, 208.0, 5.0, 208.0, 0.0, 0.0, 0.0, 1.679087131061149E9, 0.0, 2023-03-17 14:05:31.061
28.0, -3765.665443618947, -1018.3901808727004, 9546.407705117192, -14192.374252363952, -187500.02235174447, -8103.289676104746, -2560.973472711262, -397.8610513044657, 0.9480000000000001, -0.006, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67908713106908E9, 0.0, 2023-03-17 14:05:31.069
29.0, -3737.457542116349, -993.7362067384967, 9560.93633901314, -14134.37147550243, -187500.02235174447, -8093.544315522232, -2546.2436731152147, -342.29461458857236, 0.9480000000000001, -0.006, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6790871310691E9, 0.0, 2023-03-17 14:05:31.069
30.0, -3673.7103669298135, -915.6168598671985, 9620.369627519802, -14049.501901805628, -187500.02235174447, -8022.845747810095, -2471.5441431455783, -279.2403434801511, 0.9480000000000001, -0.006, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67908713107518E9, 0.0, 2023-03-17 14:05:31.075
31.0, -3692.3293700610843, -911.6829528430645, 9638.34043006187, -14082.001338243645, -187500.02235174447, -8019.627096608531, -2464.749212831165, -284.9847418051651, 0.9480000000000001, -0.006, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131082721E9, 0.0, 2023-03-17 14:05:31.082
32.0, -3736.40701012695, -983.9908461559828, 9574.235626964048, -14167.027374151634, -187500.02235174447, -8086.88349567455, -2550.8704842174634, -400.2750397056389, 0.9480000000000001, -0.006, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131082777E9, 0.0, 2023-03-17 14:05:31.082
33.0, -3753.751963824268, -1010.6117738022535, 9539.433960847135, -14171.475371298238, -187500.02235174447, -8120.411112357511, -2572.529324594656, -385.7687575541446, 0.9480000000000001, -0.006, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.679087131090542E9, 0.0, 2023-03-17 14:05:31.090
