1.6569 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
14.3832 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1680, 1050]. Using actual size
16.5894 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

16.5897 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe813cf0970>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fe7e3b806d0>, multiSample=False, name='window1', numSamples=2, pos=[420.0, 262.5], screen=0, size=array([3360, 2100]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
16.5898 	EXP 	window1: mouseVisible = True
16.5904 	EXP 	window1: mouseVisible = False
16.5904 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
16.5904 	EXP 	window1: recordFrameIntervals = False
16.7559 	EXP 	window1: recordFrameIntervals = True
16.8113 	WARNING 	t of last frame was 22.10ms (=1/45)
16.9287 	WARNING 	t of last frame was 22.86ms (=1/43)
17.0451 	WARNING 	t of last frame was 22.58ms (=1/44)
17.1275 	WARNING 	t of last frame was 21.57ms (=1/46)
17.2108 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
18.4286 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

20.3993 	EXP 	Created Introduction = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Introduction', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
20.4132 	EXP 	Created listen_instr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='listen_instr', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
20.4166 	EXP 	Created cross = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=0.01, name='cross', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
20.4316 	EXP 	Sound beat1 set volume 1.000
20.4345 	EXP 	Sound cue set volume 1.000
20.4367 	EXP 	Created cross_listen = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=0.01, name='cross_listen', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
20.4408 	EXP 	Created Instruction_next_trial = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Instruction_next_trial', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='You will now listen to the next music piece.', units='height', win=Window(...), wrapWidth=1)
20.4459 	EXP 	Created Ending = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Ending', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='This is the end of the experiment. Thank you. ', units='height', win=Window(...), wrapWidth=1)
20.4687 	EXP 	Introduction: autoDraw = True
24.4599 	EXP 	listen_instr: autoDraw = True
24.4724 	EXP 	Introduction: autoDraw = False
90.4923 	DATA 	Keypress: space
90.4990 	EXP 	Introduction: autoDraw = False
90.4990 	EXP 	listen_instr: autoDraw = False
90.4990 	EXP 	cross: autoDraw = True
95.4880 	EXP 	Created sequence: random, trialTypes=1, nReps=10, seed=None
95.4883 	EXP 	New trial (rep=0, index=0): None
95.4941 	EXP 	Imported stimuli_list.xlsx as conditions, 6 conditions, 1 params
95.4947 	EXP 	Created sequence: random, trialTypes=6, nReps=1, seed=None
95.4950 	EXP 	New trial (rep=0, index=0): {'stimuli_name': 'audio/exp0/snare_mp1.wav'}
95.5097 	EXP 	cross: autoDraw = False
95.5097 	EXP 	cross_listen: autoDraw = True
107.5035 	EXP 	cross_listen: autoDraw = False
107.5035 	EXP 	Instruction_next_trial: autoDraw = True
108.4871 	EXP 	New trial (rep=0, index=1): {'stimuli_name': 'audio/exp0/snare_mp2.wav'}
108.5059 	EXP 	Instruction_next_trial: autoDraw = False
108.5059 	EXP 	cross_listen: autoDraw = True
120.5033 	EXP 	cross_listen: autoDraw = False
120.5033 	EXP 	Instruction_next_trial: autoDraw = True
121.4929 	EXP 	New trial (rep=0, index=2): {'stimuli_name': 'audio/exp0/kick_mp1.wav'}
121.5077 	EXP 	Instruction_next_trial: autoDraw = False
121.5077 	EXP 	cross_listen: autoDraw = True
133.5029 	EXP 	cross_listen: autoDraw = False
133.5029 	EXP 	Instruction_next_trial: autoDraw = True
134.4866 	EXP 	New trial (rep=0, index=3): {'stimuli_name': 'audio/exp0/snare_iso.wav'}
134.5029 	EXP 	Instruction_next_trial: autoDraw = False
134.5029 	EXP 	cross_listen: autoDraw = True
146.5051 	EXP 	cross_listen: autoDraw = False
146.5051 	EXP 	Instruction_next_trial: autoDraw = True
147.4861 	EXP 	New trial (rep=0, index=4): {'stimuli_name': 'audio/exp0/kick_mp2.wav'}
147.5110 	EXP 	Instruction_next_trial: autoDraw = False
