1.1149 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
34.8266 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1680, 1050]. Using actual size
37.0118 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

37.0120 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f9fbef2eac0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f9f94efa790>, multiSample=False, name='window1', numSamples=2, pos=[420.0, 262.5], screen=0, size=array([3360, 2100]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
37.0122 	EXP 	window1: mouseVisible = True
37.0126 	EXP 	window1: mouseVisible = False
37.0126 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
37.0126 	EXP 	window1: recordFrameIntervals = False
37.1784 	EXP 	window1: recordFrameIntervals = True
37.2823 	WARNING 	t of last frame was 20.67ms (=1/48)
37.3986 	WARNING 	t of last frame was 20.20ms (=1/49)
37.4843 	WARNING 	t of last frame was 22.63ms (=1/44)
37.5654 	WARNING 	t of last frame was 20.32ms (=1/49)
37.6016 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
38.8451 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

40.7570 	EXP 	Created Introduction = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Introduction', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
40.7662 	EXP 	Created listen_instr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='listen_instr', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
40.7688 	EXP 	Created cross = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=0.01, name='cross', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
40.7723 	EXP 	Created Put_hands = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Put_hands', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Please put your hands on the clips.', units='height', win=Window(...), wrapWidth=1)
40.7785 	EXP 	Created Listening_Tap_Instruction_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Listening_Tap_Instruction_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='LISTENING TRIAL\n', units='height', win=Window(...), wrapWidth=1)
40.7900 	EXP 	Sound beat1 set volume 1.000
40.7925 	EXP 	Sound cue set volume 1.000
40.7942 	EXP 	Created cross_listen = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=0.01, name='cross_listen', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
40.7997 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='TAP + IMAGINE', units='height', win=Window(...), wrapWidth=1)
40.8018 	EXP 	Sound cue_tap_imagine set volume 1.000
40.8035 	EXP 	Created cross_imagine = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=0.01, name='cross_imagine', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
40.8065 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='TAP + IMAGINE', units='height', win=Window(...), wrapWidth=1)
40.8111 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='IMAGINE ONLY', units='height', win=Window(...), wrapWidth=1)
40.8134 	EXP 	Sound cue_imagine set volume 1.000
40.8154 	EXP 	Created cross_imagine_2 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=0.01, name='cross_imagine_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
40.8184 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='IMAGINE ONLY', units='height', win=Window(...), wrapWidth=1)
40.8236 	EXP 	Created Instruction_next_trial = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Instruction_next_trial', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
40.8282 	EXP 	Created Ending = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Ending', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='This is the end of the experiment. Thank you. ', units='height', win=Window(...), wrapWidth=1)
40.8572 	EXP 	Introduction: autoDraw = True
42.8281 	EXP 	listen_instr: autoDraw = True
42.8664 	EXP 	Introduction: autoDraw = False
46.6830 	DATA 	Keypress: space
46.6896 	EXP 	Introduction: autoDraw = False
46.6896 	EXP 	listen_instr: autoDraw = False
46.6896 	EXP 	cross: autoDraw = True
46.6896 	EXP 	Put_hands: autoDraw = True
50.6788 	EXP 	Created sequence: random, trialTypes=1, nReps=10, seed=None
50.6790 	EXP 	New trial (rep=0, index=0): None
50.6848 	EXP 	Imported stimuli_list_exp1.xlsx as conditions, 3 conditions, 1 params
50.6852 	EXP 	Created sequence: random, trialTypes=3, nReps=1, seed=None
50.6854 	EXP 	New trial (rep=0, index=0): {'stimuli_name': 'audio/exp1/snare_mp2.wav'}
50.6947 	EXP 	cross: autoDraw = False
50.6947 	EXP 	Put_hands: autoDraw = False
50.6947 	EXP 	Listening_Tap_Instruction_3: autoDraw = True
52.6791 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
52.6792 	EXP 	New trial (rep=0, index=0): None
52.6946 	EXP 	Listening_Tap_Instruction_3: autoDraw = False
52.6946 	EXP 	cross_listen: autoDraw = True
67.4782 	EXP 	New trial (rep=1, index=0): None
67.5003 	EXP 	cross_listen: autoDraw = False
67.5003 	EXP 	cross_listen: autoDraw = True
82.2992 	EXP 	New trial (rep=2, index=0): None
82.3105 	EXP 	cross_listen: autoDraw = False
82.3105 	EXP 	cross_listen: autoDraw = True
97.1002 	EXP 	New trial (rep=3, index=0): None
97.1109 	EXP 	cross_listen: autoDraw = False
97.1109 	EXP 	cross_listen: autoDraw = True
111.9264 	EXP 	cross_listen: autoDraw = False
111.9264 	EXP 	text_3: autoDraw = True
112.9264 	EXP 	text_3: autoDraw = False
112.9264 	EXP 	text_3: autoDraw = False
112.9264 	EXP 	cross_imagine: autoDraw = True
112.9264 	EXP 	text: autoDraw = True
127.7261 	EXP 	cross_imagine: autoDraw = False
127.7261 	EXP 	text: autoDraw = False
127.7261 	EXP 	cross_imagine: autoDraw = False
127.7261 	EXP 	text: autoDraw = False
127.7261 	EXP 	text_4: autoDraw = True
128.7263 	EXP 	text_4: autoDraw = False
128.7263 	EXP 	text_4: autoDraw = False
128.7263 	EXP 	cross_imagine_2: autoDraw = True
128.7263 	EXP 	text_2: autoDraw = True
143.5260 	EXP 	cross_imagine_2: autoDraw = False
143.5260 	EXP 	text_2: autoDraw = False
143.5260 	EXP 	cross_imagine_2: autoDraw = False
143.5260 	EXP 	text_2: autoDraw = False
143.5260 	EXP 	Instruction_next_trial: autoDraw = True
146.5100 	EXP 	New trial (rep=0, index=1): {'stimuli_name': 'audio/exp1/snare_mp1.wav'}
146.5256 	EXP 	Instruction_next_trial: autoDraw = False
146.5256 	EXP 	Instruction_next_trial: autoDraw = False
146.5256 	EXP 	Listening_Tap_Instruction_3: autoDraw = True
148.5096 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
148.5098 	EXP 	New trial (rep=0, index=0): None
148.5267 	EXP 	Listening_Tap_Instruction_3: autoDraw = False
148.5267 	EXP 	Listening_Tap_Instruction_3: autoDraw = False
148.5267 	EXP 	cross_listen: autoDraw = True
163.3134 	EXP 	New trial (rep=1, index=0): None
163.3252 	EXP 	cross_listen: autoDraw = False
163.3252 	EXP 	cross_listen: autoDraw = True
178.1091 	EXP 	New trial (rep=2, index=0): None
178.1249 	EXP 	cross_listen: autoDraw = False
178.1249 	EXP 	cross_listen: autoDraw = False
178.1249 	EXP 	cross_listen: autoDraw = True
192.9142 	EXP 	New trial (rep=3, index=0): None
192.9246 	EXP 	cross_listen: autoDraw = False
192.9246 	EXP 	cross_listen: autoDraw = True
207.7241 	EXP 	cross_listen: autoDraw = False
207.7241 	EXP 	cross_listen: autoDraw = False
207.7241 	EXP 	text_3: autoDraw = True
208.7241 	EXP 	text_3: autoDraw = False
208.7241 	EXP 	text_3: autoDraw = False
208.7241 	EXP 	cross_imagine: autoDraw = True
208.7241 	EXP 	text: autoDraw = True
223.5236 	EXP 	cross_imagine: autoDraw = False
223.5236 	EXP 	text: autoDraw = False
223.5236 	EXP 	text_4: autoDraw = True
224.5238 	EXP 	text_4: autoDraw = False
224.5238 	EXP 	text_4: autoDraw = False
224.5238 	EXP 	cross_imagine_2: autoDraw = True
224.5238 	EXP 	text_2: autoDraw = True
239.3288 	EXP 	cross_imagine_2: autoDraw = False
239.3288 	EXP 	text_2: autoDraw = False
239.3288 	EXP 	cross_imagine_2: autoDraw = False
239.3288 	EXP 	text_2: autoDraw = False
239.3288 	EXP 	Instruction_next_trial: autoDraw = True
242.3267 	EXP 	New trial (rep=0, index=2): {'stimuli_name': 'audio/exp1/snare_iso.wav'}
242.3399 	EXP 	Instruction_next_trial: autoDraw = False
242.3399 	EXP 	Listening_Tap_Instruction_3: autoDraw = True
244.3237 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
244.3238 	EXP 	New trial (rep=0, index=0): None
244.3400 	EXP 	Listening_Tap_Instruction_3: autoDraw = False
244.3400 	EXP 	cross_listen: autoDraw = True
259.1292 	EXP 	New trial (rep=1, index=0): None
259.1397 	EXP 	cross_listen: autoDraw = False
259.1397 	EXP 	cross_listen: autoDraw = True
273.9233 	EXP 	New trial (rep=2, index=0): None
273.9393 	EXP 	cross_listen: autoDraw = False
273.9393 	EXP 	cross_listen: autoDraw = False
273.9393 	EXP 	cross_listen: autoDraw = True
288.7229 	EXP 	New trial (rep=3, index=0): None
288.7388 	EXP 	cross_listen: autoDraw = False
